"ward","sect","block","lot","propertyAddress","lotSize","cityTax","stateTax","resCode","asOfDate","orig_lot"
"13","10","3555B","009","816 W 37TH ST",1337.22,"4161.79","207.35","PRINCIPAL RESIDENCE","03/25/2015","13.11X102"
"27","160","4896","006","1 MIDVALE ROAD",15638,"12537.10","624.62","PRINCIPAL RESIDENCE","03/25/2015","0.359 ACRES"
"27","440","5267A","073","1422 E COLD SPRING LANE",2147,"2594.19","129.25","PRINCIPAL RESIDENCE","03/25/2015","19X113"
"27","130","4791","005","4308 GRAND VIEW AVE",6097,"4300.42","214.26","PRINCIPAL RESIDENCE","03/25/2015","70X87.1"
"25","30","7841H","062","2006 HARMAN AVE",1240.4,"2337.92","116.48","PRINCIPAL RESIDENCE","03/25/2015","14X88.6"
"16","200","2442B","086","3207 WESTMONT AVE",1440,"1515.15","75.49","PRINCIPAL RESIDENCE","03/25/2015","16X90"
"15","30","2808","046","2102 ALLENDALE ROAD",6121.5,"3304.56","164.64","PRINCIPAL RESIDENCE","03/25/2015","53X115.5"
"27","40","5498A","080","7621 MARS AVE",7980,"3815.60","190.10","PRINCIPAL RESIDENCE","03/25/2015","84X95"
"27","140","4921","032","626 COLORADO AVE",3000,"3829.09","190.77","PRINCIPAL RESIDENCE","03/25/2015","25X120"
"27","30","5668G","097","6005 BELLE VISTA AVE",3168,"2306.45","114.91","PRINCIPAL RESIDENCE","03/25/2015","26.4X120"
"27","220","4250","010F","3309 FALLSTAFF ROAD",15200,"6292.15","313.49","PRINCIPAL RESIDENCE","03/25/2015","95X160"
"8","230","1576","062","1031 N KENWOOD AVE",1386.9,"1592.33","79.33","PRINCIPAL RESIDENCE","03/25/2015","13.8X100.5"
"15","260","3065A","010","2707 GARRISON BLVD",7740.45,"3871.06","192.86","PRINCIPAL RESIDENCE","03/25/2015","50.1X154.5"
"26","440","6072A","074","5443 BUCKNELL ROAD",2427.5,"2475.05","123.31","PRINCIPAL RESIDENCE","03/25/2015","25X97.1"
"15","190","3262C","005","3108 TIOGA PKWY",2430,"2701.35","134.59","PRINCIPAL RESIDENCE","03/25/2015","20X121.5"
"9","240","3970F","319","1527 GREENDALE ROAD",1992,"3049.79","151.95","PRINCIPAL RESIDENCE","03/25/2015","20X99.6"
"27","10","5864","036","4108 SAINT THOMAS AVE",3020.8,"1962.50","97.78","PRINCIPAL RESIDENCE","03/25/2015","32X94.4"
"26","360","4179K","016","3631 ELMLEY AVE",2000,"2034.44","101.36","PRINCIPAL RESIDENCE","03/25/2015","20X100"
"26","30","6556A","002","602 S LEHIGH ST",1166.08,"2585.20","128.80","PRINCIPAL RESIDENCE","03/25/2015","12.8X91.10"
"25","10","7653B","029","3921 COLCHESTER ROAD",1497.96,"2632.41","131.15","PRINCIPAL RESIDENCE","03/25/2015","17.10X87.6"
"27","380","5460A","041","2512 PARKTRAIL ROAD",7750,"3704.70","184.58","PRINCIPAL RESIDENCE","03/25/2015","50X155"
"27","20","5786A","005","5309 PEMBROKE AVE",5630.79,"2502.02","124.66","PRINCIPAL RESIDENCE","03/25/2015","33.9X166.10"
"27","290","5288","126","5716 MAPLEHILL ROAD",2505.92,"2248.00","112.00","PRINCIPAL RESIDENCE","03/25/2015","19.1X131.2"
"27","90","5267O","707","1613 WINFORD ROAD",3626.86,"3111.23","155.01","PRINCIPAL RESIDENCE","03/25/2015","35.11X103.3"
"1","140","1750","092","116 S CURLEY ST",780,"1461.20","72.80","PRINCIPAL RESIDENCE","03/25/2015","13X60"
"20","170","2299C","022","113 ALLENDALE ST",1692,"1931.03","96.21","PRINCIPAL RESIDENCE","03/25/2015","18.8X90"
"15","330","3342A","027","2427 SHIRLEY AVE",2156.4,"337.20","16.80","PRINCIPAL RESIDENCE","03/25/2015","18X119.8"
"7","190","1595","081","901 N STREEPER ST",951.3,"229.30","11.42","PRINCIPAL RESIDENCE","03/25/2015","15.10X63"
"12","170","3837","106","300 E 26TH ST",1428,"2485.55","123.84","PRINCIPAL RESIDENCE","03/25/2015","16.8X85"
"9","60","4021C","019","2237 HOMEWOOD AVE",3019.2,"269.76","13.44","PRINCIPAL RESIDENCE","03/25/2015","29.6X102"
"18","80","0251","045","134 S SCHROEDER ST",455.6,"517.04","25.76","PRINCIPAL RESIDENCE","03/25/2015","13.4X34"
"27","230","4306B","008","3814 MENLO DR",11543.4,"4723.05","235.31","PRINCIPAL RESIDENCE","03/25/2015","63.6X181.5"
"26","160","6307","029","224 S HAVEN ST",1134,"2047.93","102.03","PRINCIPAL RESIDENCE","03/25/2015","12.6X90"
"27","20","5810","023","4920 ARABIA AVE",4050,"2495.28","124.32","PRINCIPAL RESIDENCE","03/25/2015","27X150"
"26","80","6454","051","818 S EATON ST",840,"3295.57","164.19","PRINCIPAL RESIDENCE","03/25/2015","12X70"
"12","190","3859","027","3020 N CALVERT ST",2091,"6062.86","302.06","PRINCIPAL RESIDENCE","03/25/2015","17X123"
"26","30","6558","013","624 OLDHAM ST",973,"2906.66","144.82","PRINCIPAL RESIDENCE","03/25/2015","13.9X70"
"12","100","1111","054","417 PITMAN PL",884,"1463.45","72.91","PRINCIPAL RESIDENCE","03/25/2015","13.6X65"
"16","70","2377F","008","2564 HARLEM AVE",1528.8,"1393.76","69.44","PRINCIPAL RESIDENCE","03/25/2015","18.2X84"
"27","10","4198","013","3123 WEAVER AVE",6250,"3372.00","168.00","PRINCIPAL RESIDENCE","03/25/2015","50X125"
"15","250","2750B","012","4023 FAIRFAX ROAD",2250,"2217.27","110.47","PRINCIPAL RESIDENCE","03/25/2015","18X125"
"16","140","0114","012","1123 HARLEM AVE",1577.6,"316.97","15.79","PRINCIPAL RESIDENCE","03/25/2015","16X98.6"
"25","30","7804","025","1627 SEXTON ST",4350,"3077.51","153.33","PRINCIPAL RESIDENCE","03/25/2015","30X145"
"26","110","6421","022","520 S BOULDIN ST",924,"4076.37","203.09","PRINCIPAL RESIDENCE","03/25/2015","13.2X70"
"15","240","3118C","036","3522 LYNCHESTER ROAD",3993.85,"3084.26","153.66","PRINCIPAL RESIDENCE","03/25/2015","35X114.11"
"20","50","2134","067","520 SUNSET ROAD",1190,"1825.38","90.94","PRINCIPAL RESIDENCE","03/25/2015","14X85"
"13","20","3590","015B","4104 EVANS CHAPEL ROAD",1360,"3009.33","149.93","PRINCIPAL RESIDENCE","03/25/2015","16X85"
"24","110","2024","139B","1200 STEUART ST U# 312",1859,"8308.61","413.95","PRINCIPAL RESIDENCE","03/25/2015","1859 SQ FT"
"27","30","5689","028","3707 MARY AVE",16200,"4271.20","212.80","PRINCIPAL RESIDENCE","03/25/2015","90X180"
"6","30","1689","065","2312 E FAYETTE ST",900,"5020.53","250.13","PRINCIPAL RESIDENCE","03/25/2015","12X75"
"13","10","3536B","020B","3648 KESWICK ROAD",1242,"3277.58","163.30","PRINCIPAL RESIDENCE","03/25/2015","13.8X90"
"26","200","6048","163","4812 MIDLINE ROAD",3015.8,"2688.61","133.95","PRINCIPAL RESIDENCE","03/25/2015","29.11X103.6"
"22","40","0675","057","648 DOVER ST",517,"3207.90","159.82","PRINCIPAL RESIDENCE","03/25/2015","11X47"
"15","260","2913","012","3306 N HILTON ST U# G1",1001,"1124.00","56.00","PRINCIPAL RESIDENCE","03/25/2015","1001 S.F."
"17","10","0415","062","1234 ETTING ST",956.34,"472.08","23.52","PRINCIPAL RESIDENCE","03/25/2015","12.6X75.9"
"9","140","4114I","044","2553 KIRK AVE",1626.24,"539.52","26.88","PRINCIPAL RESIDENCE","03/25/2015","15.4X105.6"
"1","80","1867","018","834 S KENWOOD AVE",627,"5343.50","266.22","PRINCIPAL RESIDENCE","03/25/2015","11X57"
"6","150","1727","076","22 N GLOVER ST",780,"2857.21","142.35","PRINCIPAL RESIDENCE","03/25/2015","12X65"
"26","260","6069","126","4923 ABERDEEN AVE",2071.8,"2196.30","109.42","PRINCIPAL RESIDENCE","03/25/2015","18X115.1"
